Query,Reciprocal_Rank,Recall@1,Recall@5,Recall@10,Recall@20
A baby crawls over a carpeted floor while a man and woman comment.,0.2,0,1,1,1
A baby crawls up some carpeted stairs around a corner while giggling.,1.0,1,1,1,1
A baby cries and trembles while male and female onlookers laugh.,0.0256410256410256,0,0,0,0
A baby cries while two animals sit on the floor,1.0,1,1,1,1
A baby crying while the mother is crying to comfort the baby and calm the baby down.,0.1428571428571428,0,0,1,1
A baby cuddling and hugging an adult while he is patted on the back in return,0.3333333333333333,0,1,1,1
A baby dances to electronic music while a woman laughs.,1.0,1,1,1,1
A baby does a front roll over and then she starts to laugh.,0.0909090909090909,0,0,0,1
A baby down on his hands and knees looks down at the carpet and then up.,1.0,1,1,1,1
A baby drinks from a sippy cup as a woman narrates.,0.25,0,1,1,1
A baby eating a ice cream cone sitting on her dads lap.,0.0588235294117647,0,0,0,1
A baby eats a doughnut that is attached to a ribbon with people gathered around and a woman speaking to the baby.,1.0,1,1,1,1
A baby eats baby food and then sneezes it back out.,0.5,0,1,1,1
A baby eats lunch in their high chair; making a little bit of a mess.,0.0434782608695652,0,0,0,0
A baby eats spaghetti with his hand and plays with a fork.,0.1666666666666666,0,0,1,1
A baby eats spaghetti with his hands at a restaurant with his family,0.0769230769230769,0,0,0,1
A baby gets some help getting his sippy cup up to his mouth.,0.0909090909090909,0,0,0,1
A baby girl attempts to stand up on a tile floor.,0.0625,0,0,0,1
A baby girl chewing and holding her baby sip cup,0.0714285714285714,0,0,0,1
A baby girl crawls across the floor to pick up a book and then she sits up to look at it.,1.0,1,1,1,1
A baby girl in a bib eats pasta at a restaurant.,0.3333333333333333,0,1,1,1
A baby girl in a car seat gets excited and waves her arms when a familiar song comes on.,0.5,0,1,1,1
A baby girl in a pink shirt and pants is holding and playing with her sippy cup.,1.0,1,1,1,1
A baby girl in blue cries while sitting on another female's lap,1.0,1,1,1,1
A baby girl is being held up into the air and begins to cry.,0.0714285714285714,0,0,0,1
A baby girl is holding two large green rattles and moving them up and down.,0.2,0,1,1,1
A baby girl is laying on the wooden floor on her stomach making some noise.,1.0,1,1,1,1
A baby girl is licking a lolly pop with sticky fingers and others are talking in the background.,0.0434782608695652,0,0,0,0
A baby girl is pulling herself to a standing position.,0.0625,0,0,0,1
A baby girl is saying random words as she is hugging her dad.,1.0,1,1,1,1
A baby girl is sitting in a car seat in a car just being a baby.,0.25,0,1,1,1
A baby girl is sitting in her high chair in nothing but a diaper eating spaghetti with one hand even though she is holding a fork in the other.,0.5,0,1,1,1
A baby girl is sitting on a blanket clapping and being filmed by her mother.,0.2,0,1,1,1
A baby girl is trying to give a hug and kiss to a younger baby boy before toddling back to a person sitting in a chair.,0.0120481927710843,0,0,0,0
"A baby girl keeps smelling/licking her foot and pushing it away, making a sound of disgust.",0.0714285714285714,0,0,0,1
A baby girl laying on a bed cries and then stops while someone speaks.,0.3333333333333333,0,1,1,1
A baby girl lies on her back and plays with maracas.,1.0,1,1,1,1
A baby girl moves her arms and legs and shows off a big smile.,0.0526315789473684,0,0,0,1
"A baby girl plays with rattle toys, one is red, the other yellow.",0.125,0,0,1,1
A baby girl seated on a woman's lap laughs and tries to drink out of a cup.,0.0434782608695652,0,0,0,0
"A baby girl sings a song, while an unseen woman imitates her.",0.3333333333333333,0,1,1,1
A baby girl sneezes then a woman laughs then the baby sneezes again.,0.0909090909090909,0,0,0,1
A baby girl tipping over while learning to crawl accross the floor.,0.5,0,1,1,1
A baby girls appears to be upset until a song starts playing and then baby appears to be excited.,0.0,0,0,0,0
A baby has a sneezing episode while sitting on a couch next to a woman.,0.5,0,1,1,1
A baby has made a mess while eating spaghetti and fruit.,0.0769230769230769,0,0,0,1
A baby has their foot in the air in a high chair while being feed by a woman.,0.0277777777777777,0,0,0,0
A baby holding keys is sticking their tongue out while in a high chair.,1.0,1,1,1,1
A baby holds a woman's thumb and coos and laughs.,0.0333333333333333,0,0,0,0
A baby holds her mother in his arms and licks her in her nose,0.0227272727272727,0,0,0,0
A baby in a cot crying while a dog and cat lay nearby.,0.3333333333333333,0,1,1,1
A baby in a green dress on a floor is trying to stand up.,1.0,1,1,1,1
A baby in a halloween pajama cries while two dogs sleep nearby.,1.0,1,1,1,1
A baby in a high chair feeds itself and eats while he hits the table with his arm.,0.0434782608695652,0,0,0,0
A baby in a high chair is eating pasta while an adult narrates the scene.,0.1,0,0,1,1
A baby in a high chair looks at an ornament on the tray and looks at the person filming,0.0588235294117647,0,0,0,1
A baby in a high chair sips from a blue sippie cup.,0.0909090909090909,0,0,0,1
A baby in a high chair sticks her tongue out as a woman comments,1.0,1,1,1,1
A baby in a highchair is attempting to snap their fingers.,0.0833333333333333,0,0,0,1
A baby in a pink shirt enjoys eating a small lollipop candy.,0.05,0,0,0,1
A baby in a white crib crying to try and get attention.,1.0,1,1,1,1
A baby in a woman hand tried to pick something from her hand to eat but was stopped,0.0,0,0,0,0
A baby in an orange car seat being fed an icecream  cone,0.0303030303030303,0,0,0,0
A baby in bed with his hands behind their heads and yawing and moving their hands.,0.0151515151515151,0,0,0,0
A baby in footy pajamas is finding Easter eggs and putting them in a basket.,1.0,1,1,1,1
A baby in pink i smaking different faces to the camera.,0.5,0,1,1,1
A baby in swaddling cloth is seen squeezing his eyes shut as he sneezes.,0.1111111111111111,0,0,1,1
A baby in their highchair plays with the newspaper on the table.,1.0,1,1,1,1
A baby is attempting to crawl on a hardwood floor and whimpering.,1.0,1,1,1,1
A baby is attempting to drink out of a cup with a lid on it.,1.0,1,1,1,1
A baby is babbling and trying to talk to his mother in a dark room.,0.0344827586206896,0,0,0,0
A baby is babbling gibberish while wearing the color green.,0.0131578947368421,0,0,0,0
A baby is being fed while sitting in a high chair.,0.03125,0,0,0,0
A baby is being held and is crying and really upset.,1.0,1,1,1,1
A baby is being held and starts to cry in pain.,0.0138888888888888,0,0,0,0
A baby is being held in the arms of a woman and is making neutral facial expressions.,0.2,0,1,1,1
A baby is bouncing in a swing and puts its head down and then falls asleep.,1.0,1,1,1,1
A baby is clapping along with an adult who is clapping and singing.,0.3333333333333333,0,1,1,1
A baby is clapping in a high chair and then looks around.,0.0666666666666666,0,0,0,1
A baby is clapping there hands together and then stops to rub his eyes.,0.0555555555555555,0,0,0,1
A baby is climbing a piece of furniture and then stands.,0.0181818181818181,0,0,0,0
A baby is closing its eyes while a lady holding him is laughing.,0.5,0,1,1,1
A baby is crawling across a colorful padded mat on the floor.,0.5,0,1,1,1
A baby is crawling across the floor and then sits up and starts clapping.,0.0555555555555555,0,0,0,1
A baby is crawling along a tile floor while a marching song plays in the background.,0.0833333333333333,0,0,0,1
A baby is crawling from a toy house and begins to crawl towards a person.,1.0,1,1,1,1
A baby is crawling on hands and knees into a kitchen while men chant.,0.037037037037037,0,0,0,0
A baby is crawling on the floor and a dog walks by as he enters a room.,0.5,0,1,1,1
A baby is crawling on the floor and lets out a little chuckle.,0.05,0,0,0,1
A baby is crawling on the floor and looking at toys.,1.0,1,1,1,1
A baby is crawling on the floor and she is smiling like Maddy.,0.0333333333333333,0,0,0,0
A baby is crawling on the floor into a bathroom where a woman is in the shower.,1.0,1,1,1,1
A baby is crawling on the floor towards a red piece of furniture,1.0,1,1,1,1
A baby is crawling on the floor while TV is playing in the background.,1.0,1,1,1,1
A baby is crawling on the ground in slow motion,0.0181818181818181,0,0,0,0
A baby is crawling towards the parent then lays on their stomach and begins crawling again.,0.0256410256410256,0,0,0,0
A baby is crawling while holding shoes and a woman is speaking in the background.,1.0,1,1,1,1
A baby is cross-eyed and others are talking in the background.,0.1,0,0,1,1
A baby is crying while at a party with others around her.,0.0227272727272727,0,0,0,0
A baby is drinking from a bottle and trying to talk.,0.1666666666666666,0,0,1,1
A baby is drinking from a cup while sitting in a high chair.,0.032258064516129,0,0,0,0
A baby is drinking from a sippy cup while an adult laughs and helps.,0.25,0,1,1,1
A baby is drinking from a sippy cup while laying on his mother's lap.,0.3333333333333333,0,1,1,1
A baby is drinking from a sippy cup while someone in the background is laughing.,0.25,0,1,1,1
"A baby is drinking out of a sipping cup, while a woman is holding it and talking.",0.5,0,1,1,1
A baby is drinking out of a sippy cup and sticks his tongue out after.,0.0277777777777777,0,0,0,0
A baby is eating some food that a woman is sticking into his mouth.,0.0,0,0,0,0
A baby is encouraged to coo and in the process stick out his tongue.,0.0909090909090909,0,0,0,1
A baby is filmed as a mother let's the baby brush her own teeth.,1.0,1,1,1,1
A baby is focused on a rattle that is being tossed around beside him.,0.05,0,0,0,1
A baby is found as she crawls around a house.,0.037037037037037,0,0,0,0
A baby is getting a hair cut while sitting in a high char in a kitchen.,0.0909090909090909,0,0,0,1
A baby is holding a pair of shorts and is going to fold them,1.0,1,1,1,1
A baby is holding a spoon in his hands and is eating noodles on a chair,0.3333333333333333,0,1,1,1
"A baby is holding an object, and is told something, to which he drops it and waves his hands.",0.0138888888888888,0,0,0,0
A baby is holding food and is trying to feed a baby goat.,0.125,0,0,1,1
A baby is holding on to a blanket on the floor and trying to crawl.,1.0,1,1,1,1
A baby is holding something in his hand while a woman is shaving his head with an electric hair shaver.,0.3333333333333333,0,1,1,1
"A baby is in a high chair and copying someone off camera saying, ah-choo.",0.2,0,1,1,1
A baby is in a highchair eating ice cream with his hands before picking up the bowl and putting to his mouth.,0.1666666666666666,0,0,1,1
A baby is in a highchair eating noodles and laughing.,0.0555555555555555,0,0,0,1
A baby is in his dads arms and pretending to play the drums.,0.2,0,1,1,1
A baby is in the crib on its back sneezing two times.,0.0285714285714285,0,0,0,0
A baby is in the stroller and is getting fed and ice cream cone.,0.0588235294117647,0,0,0,1
A baby is inside of a cradle and waving around their arms.,0.1666666666666666,0,0,1,1
A baby is inside of a crib and is shaking two toy maracas.,0.3333333333333333,0,1,1,1
A baby is kicking and shaking a pair of rattles until he hears some music.,0.1428571428571428,0,0,1,1
"A baby is laughing and screaming as a man pinches his cheek, and begins to attack the man's face.",0.5,0,1,1,1
A baby is laughing on the floor while a man taps on its chest with his foot.,1.0,1,1,1,1
A baby is laying down as his dad talks before sneezing.,0.0357142857142857,0,0,0,0
A baby is laying down crying and being funny at the same time.,0.0666666666666666,0,0,0,1
A baby is laying down in a car seat and is sneezing and with mittens on,0.1666666666666666,0,0,1,1
A baby is laying in bed on its back and playing with a flashlight.,1.0,1,1,1,1
A baby is laying on a bed and making faces.,0.25,0,1,1,1
A baby is laying on a mat drinking out of a sippy cup.,0.2,0,1,1,1
A baby is laying on ground crying as a person with a dog walks by.,0.0163934426229508,0,0,0,0
A baby is laying on his back with his fingers up to his mouth and making gurgling sounds.,1.0,1,1,1,1
A baby is laying on his stomach and tries to get up from the rug he is laying on.,0.2,0,1,1,1
A baby is laying on its stomach on a carpet facing a camera then raises up onto its knees.,0.024390243902439,0,0,0,0
A baby is laying on the ground and trying to crawl.,0.3333333333333333,0,1,1,1
A baby is laying on top of a surface and he is looking at someone.,0.3333333333333333,0,1,1,1
A baby is licking a large rainbow lollipop while someone talks.,0.5,0,1,1,1
A baby is licking and enjoying a big lollipop.,0.5,0,1,1,1
A baby is looking at a color picture in a newspaper.,0.1666666666666666,0,0,1,1
"A baby is lying down and clapping their hands, and then rubs their eyes with a closed fist.",0.0161290322580645,0,0,0,0
A baby is lying down while slowly shaking its maracas.,0.25,0,1,1,1
"A baby is lying on a blanket on a couch, and then he sneezes three times in a row.",0.125,0,0,1,1
A baby is lying on it's back crying while moving it's arms and legs.,0.5,0,1,1,1
"A baby is lying on the floor, sneezes and looks around.",0.0166666666666666,0,0,0,0
A baby is lying on the ground while a woman with dark hair leans her hair into the baby to play.,0.5,0,1,1,1
A baby is moving its arms and making a cute cooing sound.,0.0172413793103448,0,0,0,0
A baby is on a bed sticking out its tongue and laughing.,0.2,0,1,1,1
A baby is on camera making faces and adult is talking then the baby sneezes.,0.0126582278481012,0,0,0,0
A baby is on the carpet floor moving around and cooing with a smile.,0.0333333333333333,0,0,0,0
A baby is on the ground and crawling and then a woman speaks to him.,1.0,1,1,1,1
A baby is opening her mouth and trying to eat food which her mother is giving,0.0,0,0,0,0
A baby is picking up spaghetti with his hands and putting the noodles in his mouth..,1.0,1,1,1,1
A baby is playing in a bed by giggling and laughing and dropping his head to the bed,0.5,0,1,1,1
A baby is playing with a couple of toys and the mother is sitting next to the child helping them.,0.25,0,1,1,1
"A baby is playing with a newspaper, gives her dad a high five, and walks away.",0.1428571428571428,0,0,1,1
A baby is playing with man's face by grabbing his beard and eyes.,1.0,1,1,1,1
A baby is playing with maracas and babbling while his mom encourages him.,0.5,0,1,1,1
A baby is playing with their sippy cup straw and they open their mouth in order to drink from the straw.,0.0666666666666666,0,0,0,1
A baby is scooting across the rug trying to crawl towards the tablet.,1.0,1,1,1,1
A baby is scooting and crawling across a blanket or carpet.,0.0175438596491228,0,0,0,0
A baby is seated in a high chair and feeding himself.,0.0625,0,0,0,1
A baby is seated on a couch holding some food in each hand and watching TV.,0.0769230769230769,0,0,0,1
A baby is seen babbling with a mixture of an intended sound caused by the tongue's motion.,0.0222222222222222,0,0,0,0
A baby is seen sitting in a highchair and using a sippy cup to drink.,1.0,1,1,1,1
A baby is shown and an adult plays with her cheeks and talks to her.,0.0909090909090909,0,0,0,1
A baby is shown crawling on the floor towards her parents.,0.5,0,1,1,1
A baby is shown drinking his juice by himself in his cup.,0.25,0,1,1,1
A baby is shown sitting on her mother who is clapping and playing with her.,1.0,1,1,1,1
A baby is siting inside a baby chair and he is playing with a toy on top of the chair.,0.2,0,1,1,1
A baby is sitting and smiling while an adult as for him to stick his tongue out.,0.2,0,1,1,1
A baby is sitting at a table and biting on a big piece of watermelon.,1.0,1,1,1,1
A baby is sitting at a table and eating spaghetti.,0.0769230769230769,0,0,0,1
A baby is sitting down on the floor brushing his teeth,1.0,1,1,1,1
A baby is sitting in a chair and drinking from a cup he is holding with both hands,1.0,1,1,1,1
A baby is sitting in a chair and is eating watermelon.,0.5,0,1,1,1
"A baby is sitting in a child seat, a woman is talking to him and he is drinking from a cup",0.2,0,1,1,1
A baby is sitting in a high chair chewing on a sippy cup.,1.0,1,1,1,1
A baby is sitting in a highchair and clapping.,0.5,0,1,1,1
A baby is sitting in a highchair eating spaghetti and holding a fork.,0.5,0,1,1,1
A baby is sitting in a rocker while an adult puts a cup next to it's mouth to drink.,0.0227272727272727,0,0,0,0
A baby is sitting in her mothers lap getting her hair groomed.,0.0909090909090909,0,0,0,1
A baby is sitting in his chair making funny faces with his tongue.,0.1428571428571428,0,0,1,1
"A baby is sitting on a female's lap, smiling and clapping",1.0,1,1,1,1
A baby is sitting on the floor on his belly and sticking his tongue out.,0.0714285714285714,0,0,0,1
A baby is sitting on the floor smiling a clapping her hands as she begins to crawl.,1.0,1,1,1,1
A baby is sitting on the ground and waving his arms up and down.,0.0,0,0,0,0
A baby is sitting on there high chair and is drinking some water out of there cup.,1.0,1,1,1,1
"A baby is sitting quietly in a high chair, sticking their tongue out then in then smiles.",0.3333333333333333,0,1,1,1
A baby is sitting up and holding a rattle in her hand and smiling.,0.3333333333333333,0,1,1,1
A baby is slowly crawling to reach the TV remote control,1.0,1,1,1,1
A baby is sticking out it's toung as a man plays with tthe babys chin.,0.25,0,1,1,1
A baby is strapped in a seat and is bobbing his head to some very loud heavy metal music.,0.0,0,0,0,0
A baby is sucking on a plastic water bottle that she is holding.,1.0,1,1,1,1
A baby is trying to crawl on the floor to reach a remote control.,0.5,0,1,1,1
A baby is trying to drink from a sippy cup while the TV plays behind it.,0.3333333333333333,0,1,1,1
A baby is trying to nibble on a popsicle while an adult laughs in the background.,0.0666666666666666,0,0,0,1
A baby is trying to sleep and a man in pinching the flesh on her arm.,0.0113636363636363,0,0,0,0
A baby is upset and making noises at the camera while being held.,0.2,0,1,1,1
A baby is yawning while in his mothers arms quietly.,0.5,0,1,1,1
A baby keeps opening his mouth waiting to be fed baby food by a woman.,0.0,0,0,0,0
A baby laying on the floor shakes a red maraca in each hand.,1.0,1,1,1,1
A baby lays down on a bed with a woman and begins to whine.,0.1,0,0,1,1
A baby lays in its bassinet falling asleep as it rocks back and forth.,0.1111111111111111,0,0,1,1
A baby lays on a bed and then laughs and hides their face.,0.3333333333333333,0,1,1,1
A baby lays on his back on a rug on the floor and giggles as he is being tickled.,1.0,1,1,1,1
A baby lays on the floor and laughs while a woman kisses its feet.,1.0,1,1,1,1
A baby lays on the lap of a person and sneezes twice.,0.2,0,1,1,1
A baby lays on their back on their baby blanket and sneezes.,0.03125,0,0,0,0
A baby leaves his pallet and crabs across the floor to get a basket of plastic eggs.,0.0,0,0,0,0
A baby lies on her stomach and stares at someone making noises.,0.0196078431372549,0,0,0,0
A baby lies on the floor and laughs as a young girl bends over him and tickles his face with her hair,1.0,1,1,1,1
A baby lies on their back and stares up at the camera while licking their lips.,1.0,1,1,1,1
A baby lifts a sippy cup up to its face while sitting in a highchair.,0.0555555555555555,0,0,0,1
A baby looks and pets baby chicks while someone holds the baby chick.,1.0,1,1,1,1
A baby looks something with a brush on her mouth.,0.0,0,0,0,0
A baby looks to the side and starts banging his head on the bed.,1.0,1,1,1,1
"A baby lying at the edge of a play mat starts to get up into a crawl position, as a woman's voice encourages him to come over.",0.1,0,0,1,1
A baby lying next to a woman is sticking his tongue out while someone in the background is talking to him.,0.5,0,1,1,1
A baby lying on a bed is crying as a person watches her and giggles.,0.25,0,1,1,1
A baby makes content cooing noises while sipping on a bottle.,0.5,0,1,1,1
"A baby mumbles, sticks their tongue out and reaches out from their high chair.",0.3333333333333333,0,1,1,1
A baby nuzzles on his father's arm as they sit at a table while others watch.,1.0,1,1,1,1
A baby on it's hands and knees sits up and laughs when a woman asks it what it's doing.,0.0,0,0,0,0
A baby on the floor moves from his stomach to a sitting position.,0.0714285714285714,0,0,0,1
A baby opens his mouth while laying down on a blanket.,0.0526315789473684,0,0,0,1
A baby picks up a soppy cup from the highchair he is sitting in and takes a long drink.,0.1111111111111111,0,0,1,1
A baby playing on a floor with toys and a woman singing to him.,0.1111111111111111,0,0,1,1
A baby playing with a newspaper while their parents are watching and talking with them.,0.1111111111111111,0,0,1,1
A baby playing with a paper gives a man a high five.,0.0666666666666666,0,0,0,1
A baby plays with a toy as someone makes kissing noises in the background.,0.0105263157894736,0,0,0,0
A baby plays with her sipper cup while sitting down.,0.1428571428571428,0,0,1,1
A baby plays with maraca and then tries to suck on it.,0.0169491525423728,0,0,0,0
A baby plays with some toys while sitting on the floor.,0.1428571428571428,0,0,1,1
A baby put an adult feet at his nose and then put a purse in his mouth,0.0,0,0,0,0
A baby puts his foot on a woman's face and they both laugh.,1.0,1,1,1,1
"A baby repeatedly smells her feet and yells in disgust, causing a guy to laugh.",0.037037037037037,0,0,0,0
A baby riding in a car seat smells a foot and then laughs.,1.0,1,1,1,1
A baby rocks in his chair as a person touches his face.,0.0769230769230769,0,0,0,1
A baby rolls around on a bed and shakes two rattles.,0.1666666666666666,0,0,1,1
A baby seems pleased with himself after drinking milk through a straw in a special infant cup.,0.0222222222222222,0,0,0,0
A baby sets in a high chair as a person tries to feed the infant with a sipper cup.,0.0625,0,0,0,1
A baby shakes a noisy toy with one hand and does it several times and a person speaks to him,0.25,0,1,1,1
A baby sips from a large plastic cup through a straw attached to the cup.,0.25,0,1,1,1
A baby sits in a bath as a woman helps to brush their teeth.,1.0,1,1,1,1
A baby sits in a chair while and woman speaks to them and tries to get their attention.,0.0357142857142857,0,0,0,0
A baby sits in a high chair and drinks from a sippy cup while a man talks to it.,0.1428571428571428,0,0,1,1
A baby sits in a high chair and drinks milk out of a small cup with handles on both sides.,0.125,0,0,1,1
A baby sits in a person's lap while they read the newspaper.,1.0,1,1,1,1
A baby sits in a plastic tub while two young children beside him clap.,1.0,1,1,1,1
A baby sits on a bed playing with a bom bom rattle.,1.0,1,1,1,1
"A baby sits on a colored blanket and waves a blue rattle around, and then hits herself in the face.",0.25,0,1,1,1
A baby sits on a floor and sneezes twice as someone encourages him to clap.,0.1428571428571428,0,0,1,1
A baby sits on the floor clapping and screeching as music plays.,1.0,1,1,1,1
A baby sits on the lap of an adult and then the adults puts a toy on and the baby has a negative reaction to it.,0.0769230769230769,0,0,0,1
A baby sits with her older sister and they laugh and play.,0.1428571428571428,0,0,1,1
A baby sitting in a small rocking chair sticks out his tongue and smiles.,1.0,1,1,1,1
A baby sitting in a soft chair is clapping its hands as a woman talks to him.,0.1428571428571428,0,0,1,1
A baby sitting in the chair picked a cup and sipped from it,0.25,0,1,1,1
